Russian Federation,Russia
United States of America,United States
Viet Nam,Vietnam
Lao People's Democratic Republic,Laos
Iran (Islamic Republic of),Iran
Sudan (former),Sudan
Congo,DRC
United Republic of Tanzania,Tanzania
Democratic People's Republic of Korea,North Korea
Republic of Korea,South Korea
Venezuela (Bolivarian Republic of),Venezuela
Bolivia (Plurinational State of),Bolivia
Syrian Arab Republic,Syria
